name,latitude,longitude,rating,number of reviews,affluence
Hotel Bon Vivant,23.8069044,90.41645989999999,4,289,No Price Level
Margarita Resturant and Cafe,23.8066349,90.4162212,3.3,4,No Price Level
Dallas Cafe & Restaurant,23.8091434,90.4135285,4,317,2
CP Five Star - Angel Food,23.80728299999999,90.4170972,3.9,197,No Price Level
ollpo,23.8045959,90.41100209999999,4.2,98,No Price Level
hotel Aristocrat in restaurent,23.8032085,90.4091559,4,8,No Price Level
Magpie Thai and Chinese Restaurant,23.8120563,90.4220469,4,677,2
Palm View Hotel and Restaurant,23.8189386,90.4141559,4.3,1682,No Price Level
Zaman Hotel & Biryani House,23.8117998,90.4219966,3.7,1015,2
Dhaka Mushroom Center,23.8144335,90.4210255,3.8,14,No Price Level
Aziz Food Corner,23.8146254,90.4209543,3.8,10,No Price Level
Hacking,23.810332,90.4125181,Rating missing,No of ratings missing,No Price Level
Foodie & Bagpack,23.810332,90.4125181,Rating missing,No of ratings missing,No Price Level
Rakhe restaurant,23.810332,90.4125181,Rating missing,No of ratings missing,No Price Level
new zone,23.810332,90.4125181,5,1,No Price Level
Gaas fouring,23.810332,90.4125181,Rating missing,No of ratings missing,No Price Level
jeweelvai,23.810332,90.4125181,Rating missing,No of ratings missing,No Price Level
Thamid Hudda,23.810332,90.4125181,Rating missing,No of ratings missing,No Price Level
হোটেল সালাদিয়া রেহান,23.810332,90.4125181,Rating missing,No of ratings missing,No Price Level
Coffe shop,23.810332,90.4125181,Rating missing,No of ratings missing,No Price Level
Magpie Thai and Chinese Restaurant,23.8120563,90.4220469,4,677,2
Tasty Tibet - CSD,23.8024493,90.39592189999999,4.3,73,2
Hotel Bon Vivant,23.8069044,90.41645989999999,4,289,No Price Level
Palm View Hotel and Restaurant,23.8189386,90.4141559,4.3,1682,No Price Level
The Atrium Restaurant,23.802477,90.4228988,4,1773,3
Margarita Resturant and Cafe,23.8066349,90.4162212,3.3,4,No Price Level
Dallas Cafe & Restaurant,23.8091434,90.4135285,4,317,2
CP Five Star - Angel Food,23.80728299999999,90.4170972,3.9,197,No Price Level
ollpo,23.8045959,90.41100209999999,4.2,98,No Price Level
hotel Aristocrat in restaurent,23.8032085,90.4091559,4,8,No Price Level
Zaman Hotel & Biryani House,23.8117998,90.4219966,3.7,1015,2
Dhaka Mushroom Center,23.8144335,90.4210255,3.8,14,No Price Level
Aziz Food Corner,23.8146254,90.4209543,3.8,10,No Price Level
